tmlprm,tmlversi,tmldata,tmlnobuk,tmlkode1,tmlkode2,tmlkode3,tmlkode4,tmlket1,tmlket2,tmlket3,tmlket4,tmlkode5,tmlkode6,tmlyt,tmlcrtusr,tmlscr,tmltotal1,tmltotal2,tmltotal3,tmltotal4,tmltotal5
1416,1,DTTMPLAP,RUGILABA,BLN,411.01.2410,KOMISI,B0012,MKT,TDK KONTRIBUS,BISNIS_SISPOK,OPEX,,,,,,0.0,0.0,0.0,0.0,0.0
1418,3,DTTMPLAP,RUGILABA,BLN,411.01.2411,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1420,0,DTTMPLAP,RUGILABA,BLN,411.01.2501,,A3004,,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1422,0,DTTMPLAP,RUGILABA,BLN,411.01.2502,,A3004,,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1424,1,DTTMPLAP,RUGILABA,BLN,411.01.2503,TDK,A3004,,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1426,3,DTTMPLAP,RUGILABA,BLN,411.01.2504,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1428,3,DTTMPLAP,RUGILABA,BLN,411.01.2505,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1430,0,DTTMPLAP,RUGILABA,BLN,411.01.2506,,A3004,,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1432,3,DTTMPLAP,RUGILABA,BLN,411.01.2507,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1434,3,DTTMPLAP,RUGILABA,BLN,411.01.2508,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1436,3,DTTMPLAP,RUGILABA,BLN,411.01.2509,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1438,4,DTTMPLAP,RUGILABA,BLN,411.01.2510,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1440,0,DTTMPLAP,RUGILABA,BLN,411.01.2511,,A1004,,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1442,3,DTTMPLAP,RUGILABA,BLN,411.01.2512,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1444,4,DTTMPLAP,RUGILABA,BLN,411.01.2513,,D0003,,,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1446,4,DTTMPLAP,RUGILABA,BLN,411.01.3001,TDK,C0002,,,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1448,3,DTTMPLAP,RUGILABA,BLN,411.01.3002,TDK,A4001,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1450,4,DTTMPLAP,RUGILABA,BLN,411.01.3003,TDK,C0001,,,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1452,3,DTTMPLAP,RUGILABA,BLN,411.01.3004,TDK,C0001,,,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1454,3,DTTMPLAP,RUGILABA,BLN,411.01.3005,TDK,A4001,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1456,3,DTTMPLAP,RUGILABA,BLN,411.01.3006,TDK,C0001,,,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1458,0,DTTMPLAP,RUGILABA,BLN,411.01.3007,,A1001,,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1460,3,DTTMPLAP,RUGILABA,BLN,411.01.3008,TDK,A4001,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
